name,city,in_main_csv,existing_address,existing_zip,existing_latitude,existing_longitude,found_address,found_zip,found_latitude,found_longitude,source_url,confidence_note
Cedar River Trail - South,Renton,Y,,,47.49428682,-122.21304568,"NOT FOUND; identical coordinates to the Logan-to-Library entry above, nearest landmark Cedar River Trail Park, 1060 Nishiwaki Ln",98057,,,https://www.yelp.com/biz/cedar-river-trail-park-renton,"low confidence - shares exact same lat/lon as the other Cedar River Trail entry, likely a data duplication/placeholder issue in the source rather than two co-located segments - check source data for a copy-paste error"
Maplewood Roadside Park,Renton,Y,,,47.47549774072961,-122.17650371913037,3201 Maple Valley Hwy (may overlap with a separate Maplewood Park GIS record at the same address),98057,,,https://www.dogpackapp.com/parks/united-states/washington/renton/maplewood-roadside-park,"Medium - name/location confirmed by 3 independent sources, tightly clustered coords, but possible address duplication with a separate Maplewood Park entity"
Meadow Crest Playground,Renton,Y,,,47.5074932488972,-122.18027331801044,3000 NE 16th St (shared site with adjacent North Highlands Neighborhood Center),98056,,,https://www.yelp.com/biz/meadow-crest-playground-renton,Medium-high - playground co-located within/adjacent to North Highlands Park at this address
Narco Property,Renton,Y,,,47.4760121,-122.19266303,"Off Houser Way S near Cedar River Trail (former NARCO property, now part of Cedar River Dog Park)",98057,,,https://www.randycorman.com/?p=8797,moderate confidence - former mayor's account confirms the city purchased the NARCO (former brick plant) property and preserved it as this dog park; corroborated by proximity to Cedar River Dog Park in reverse-geocode; no formal street number
Parkwood Park South,Renton,Y,,,47.46059678354934,-122.18948488386545,,98055,,,https://gismaps.rentonwa.gov/as03/rest/services/Operational/ParksAndRecreation/MapServer/9,"Low - no web presence found for this park under this exact name outside the city's own GIS layer; coords are an unverified polygon vertex, treat as approximate"
Stoneway Parcel,Renton,Y,,,47.48017942783998,-122.19374193074462,"no formal address; adjacent to Cedar River Park, near 1717 Maple Valley Hwy (King County parcel 1723059026)",98057,,,https://www.rentonwa.gov/Government/Newsroom/City-news/Stoneway-Acquisition,Medium - former Stoneway Sand & Gravel industrial site acquired by the city in 2025 to expand Cedar River Park; no independent address exists
Sunset Neighborhood Park,Renton,Y,,,47.49998943389551,-122.18254415108512,2680 Sunset Ln NE,98056,,,https://visitrenton.com/listing/sunset-neighborhood-park/151/,High - corroborated by two independent sources within ~0.001 degrees; across from Renton Highlands Library
Angle Lake Nature Trail,SeaTac,Y,,,47.4261437916588,-122.2940344762787,19408 International Blvd,98188,,,https://www.seatacwa.gov/Home/Components/FacilityDirectory/FacilityDirectory/8/926,"high confidence - reverse-geocode lands squarely on International Blvd within Angle Lake Park's boundaries, matching the city's listed park address"
Echo Lake Park West,Shoreline,Y,,,47.770909834017544,-122.3445905217715,19512 Echo Lake Place N,98133,,,https://www.shorelinewa.gov/government/projects-initiatives/2022-park-bond-projects-phase-ii,high confidence - distinct newer 2022-bond-funded park (separate from the older Echo Lake Park at 19901 Ashworth Ave N); reverse-geocode lands one parcel away on the same street
Edwin Pratt Memorial Park,Shoreline,Y,,,47.76292629786763,-122.34125232172435,1341 N 185th Street,98133,,,https://www.shorelinewa.gov/government/projects-initiatives/edwin-pratt-memorial-park,high confidence - official city project page names this address directly; reverse-geocode lands nearby on Ashworth Ave N near N 185th St
Interurban ROW access,Shoreline,Y,,,47.73679388048971,-122.34745397454638,"N 149th St & Linden Ave N (cross streets only, no formal address)",98133,,,https://www.cityofmlt.com/1989/Interurban-Trail,"medium-high confidence on location, but no address exists for this point; reverse-geocode returned N 149th Street, essentially co-located with the given lat/lon - a ROW trail crossing, not an addressed facility"
57th Avenue Mini Park,Tukwila,N,13300 57th Avenue South,,,,13300 57th Avenue South,,47.48422,-122.264333,https://www.tukwilawa.gov/departments/parks-and-recreation/parks-and-trails/57th-avenue-mini-park/,High confidence - official city page's map link resolves to a Google-named place matching this exact park.
Bicentennial Park,Tukwila,N,7200 Strander Boulevard,,,,7200 Strander Boulevard,,47.45637,-122.247053,https://www.tukwilawa.gov/departments/parks-and-recreation/parks-and-trails/bicentennial-park/,High confidence - cross-confirmed by an independent search estimate landing within meters of the official map-link pin.
Cecil Moses Park,Tukwila,N,11013 West Marginal Place South,,,,11013 West Marginal Place South,,47.503673,-122.29831,https://www.tukwilawa.gov/departments/parks-and-recreation/parks-and-trails/cecil-moses-park/,Medium-high confidence - Google's place record cites a 27th Ave S address (also seen independently as 11099 27th Ave S) rather than West Marginal Place South; may have two associated addresses. Pin location for the park itself is confident.
Duwamish Gardens,Tukwila,Y,Intersection of Interurban Avenue South and South 115th Street,98225,48.711117344921,-122.487212805914,,98168,47.5013214,-122.2888355,https://www.tukwilawa.gov/departments/parks-and-recreation/parks-and-trails/duwamish-gardens/,"high confidence the coordinates/zip are wrong (not the address) - the free US Census geocoder can't handle this intersection-style address (no house number) and instead of failing outright returned a confident-looking but wrong match on a same-named street in Bellingham, WA, ~90 miles north (explains the 98225 zip too); correct location confirmed via the park's own Google Maps link on its Tukwila city page, resolving to 'Duwamish Gardens Park' at 47.5013214,-122.2888355 (zip 98168), consistent with the rest of Tukwila's parks"
Duwamish Hill Preserve,Tukwila,N,3800 South 115th Street,,,,3800 South 115th Street,,47.501727,-122.285497,https://www.tukwilawa.gov/departments/parks-and-recreation/parks-and-trails/duwamish-hill-preserve/,High confidence - official city page's map link resolves to a Google-named place with an exact name match corroborated independently.
Fort Dent Park,Tukwila,Y,6800 Fort Dent Way,98188,47.467091216107,-122.247932652638,,,47.4711873,-122.2496453,"https://www.google.com/maps/place/Fort+Dent+Park/@47.4711873,-122.2496453,15z","high confidence the coordinates are off - user confirmed the existing marker sits south of the park; Census-geocoding the street address matches the existing (wrong) coordinates exactly, but the city's own page links to a Google Maps place named exactly 'Fort Dent Park', ~473m north, used here as the correction"
Tukwila Pond,Tukwila,Y,299 Strander Boulevard,98188,47.455831084332,-122.259851339742,,,47.4537911,-122.2595323,"https://www.google.com/maps/place/Tukwila+Pond+Park/@47.4537911,-122.2595323,15z","high confidence the coordinates are off (not the address) - Census-geocoding the street address '299 Strander Boulevard' lands ~228m from the park itself, per user report of the marker sitting outside the park; the city's own page links this same address to a Google Maps place named exactly 'Tukwila Pond Park', used here as the correction"
Stonehill Meadows Park,Woodinville,N,"134th Place NE, Woodinville, WA 98072",,,,134th Place NE (no house number found on official city page),98072,47.76229,-122.15942,https://www.woodinville.gov/facilities/facility/details/Stonehill-Meadows-Park-17,approximate - no park-specific coordinates found; lat/lon is a proxy from Census TIGER geocoding of a neighboring residence described as directly across from the park
Tanglin Ridge Park,Woodinville,N,"NE 185th St, Woodinville, WA 98072",,,,NE 185th St (no house number found on official city page),98072,47.76170,-122.13901,https://www.woodinville.gov/facilities/facility/details/Tanglin-Ridge-Park-16,approximate - no park-specific coordinates found; lat/lon is a proxy from Census TIGER geocoding of three neighboring homes on the same block
Woodin Creek Park,Woodinville,N,"13201 NE 171st Street, Woodinville, WA 98072",,,,13201 NE 171st Street,98072,47.75092,-122.16393,https://www.atly.com/location/WoodinCreekPark,"high confidence - city facilities page confirms address, coordinates cross-validated by two independent sources within ~150m"
Mercerdale Park,Mercer Island,N,,,,,77th Avenue SE & SE 32nd Street,98040,47.5808560,-122.2349175,https://www.mercerisland.gov/parksrec/page/mercerdale-park,"high confidence - OpenStreetMap has a direct named-polygon match for this park; the free Census geocoder mismatches this address's cross-street format to a street in Ephrata, WA (~150mi away) and is rejected by the fetch's own city-mismatch safety check, so the main fetch skips this park entirely"
